2861,382,以往所有年份的资质认定（计量认证）获证机构信息，包括：单位名称、实验室地址、电话、证书编号、发证日期、有效期,政府办事,资质认定，计量认证，获证机构,经济建设,综合类,业务类,普遍公开,每年,2015-10-16,2016-07-18,上海市质量技术监督局
1537,218,上海市预防接种单位信息包括：区县编码简称、用户类型、用户机构全称、单位地址、服务时间、联系电话。,就医与保健,预防接种 单位,卫生健康,医疗保健,机构职能,普遍公开,每半年,2016-07-08,上海市卫生和计划生育委员会
1593,216,托幼机构儿童、工作人员体检情况2015年包括：贫血检出率、肥胖检出率、视力筛查可疑异常率、听力筛查可疑异常率、龋齿筛查可疑异常率。,就医与保健,托幼机构 儿童 工作人员 体检情况,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-08,2016-07-08,上海市卫生和计划生育委员会
1382,240,血站执业登记包括：机构名称、地址、登记号、采供血范围、业务项目、执业许可证号、有效期限、发证机关。,就医与保健,血站 执业登记,卫生健康,医疗保健,机构职能,普遍公开,每季度,2016-07-08,上海市卫生和计划生育委员会
1397,155,为掌握新标准实施后本地孕妇和学龄儿童的碘营养状况，根据国家《2014年公共卫生服务地方病防治项目实施方案》（中疾控地病发〔2014〕5号）和《碘缺乏病监测方案》（中疾控地病发〔2012〕6号），上海市于2015年开展了第七次碘缺乏病病情监测。,就医与保健,碘缺乏病 防治工作 调查信息 总结报告,卫生健康,医疗保健,机构职能,普遍公开,每年,2016-07-08,2016-07-08,上海市卫生和计划生育委员会
1865,233,上海市公共安全防范工程设计施工单位年度核准情况通报包括证号、单位名称、法人和电话等内容。,政府办事,公共安全防范工程，工程设计施工单位,公共安全,公安,业务类,普遍公开,每年,2016-07-07,上海市公安局
2396,276,过往所有年份的社会公正计量行（站）信息，包括：单位名称、地址、联系电话、证书编号、发证日期、 有效期、联系人,政府办事,社会公正，计量行，计量站,机构团体,综合类,业务类,普遍公开,每年,2015-10-16,2016-07-05,上海市质量技术监督局
3570,923,上海市各检验检测机构的信息，包括机构名称、地址、联系电话及工作范围,政府办事,检测机构.检验机构,机构团体,检验、检疫,业务类,普遍公开,每年,2015-01-14,上海市质量技术监督局
5398,908,2014年度全市纳税信用等级统计，包括纳税人识别码，纳税人名称，A类信用等级等信息。,政府办事,纳税人识别码，纳税人名称，信用等级,信用服务,税务,业务类,普遍公开,每年,2015-11-02,2016-05-06,上海市地方税务局
2939,714,企业技术中心认定的认定总数、领域分布数量、区域分布数量等相关信息,政府办事,认定总数.领域分布数量.区域分布数量,经济建设,工业,业务类,普遍公开,每年,2014-11-07,上海市经济和信息化委员会
2960,410,建筑从业人员行政处罚信息。此表用于统计在沪建筑从业人员受到行政处罚的信息。,政府办事,人员行政处罚,信用服务,城乡建设,机构职能,普遍公开,每年,2015-11-03,2016-04-13,上海市住房和城乡建设管理委员会
3210,408,卫生监督检查信息，包括条线、单位名称、检查时间，检查结果，监督机构,就医与保健,卫生 监督 检查,信用服务,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,上海市卫生和计划生育委员会
2773,320,全市帮困粮油指定供应点的名称、地址、联系电话、邮政编码、联系人,社区周边生活服务,帮困，粮油，供应点,民生服务,商贸综合类,业务类,普遍公开,每年,2015-11-04,2016-02-06,上海市粮食局
2554,277,全市副食品价格补贴发放网点的行政区域、名称、地址、联系电话、邮政编码,政府办事,副食品，补贴，发放点,民生服务,民政综合类,业务类,普遍公开,每年,2015-11-04,上海市粮食局
3053,414,全市粮食收购点的公司名称、联系地址、联系电话、邮政编码、联系人,政府办事,粮食，收购点,经济建设,商贸综合类,业务类,普遍公开,每年,2015-11-04,2016-02-06,上海市粮食局
2102,349,与市政府侨办合作的包括上海莘闵留学人员创业园在内的为华侨华人在上海投资创业提供服务的10家机构的名称、地址和电话,政府办事,创业服务,经济建设,综合类,业务类,普遍公开,每年,2016-01-27,上海市人民政府侨务办公室
1700,208,有关华侨回国来沪定居、归侨身份确认、归侨证的制作等7项受理事项的受理时间和地点,政府办事,事务受理,民生服务,综合类,业务类,普遍公开,每年,2016-01-27,2016-01-27,上海市人民政府侨务办公室
1769,209,包括华侨回国来沪定居行政审批、归侨身份确认、华侨身份确认、华人身份确认在内的8项行政权力,政府办事,行政权力,民生服务,综合类,机构职能,普遍公开,每年,2016-01-27,上海市人民政府侨务办公室
1778,237,包括浦东、黄浦、静安、徐汇、长宁、普陀、闸北、虹口、杨浦、宝山、闵行、嘉定、金山、松江、青浦、奉贤、崇明等17个区县侨办的名称、地址信息,政府办事,机构,机构团体,综合类,机构职能,普遍公开,每年,2016-01-27,2016-01-27,上海市人民政府侨务办公室
3833,398,提供上海市各区县通航水闸每年船舶过闸数量，船舶过闸吨位，船舶过闸收费情况服务,政府办事,收费区县.通航水闸数量.过闸船舶吨位.过闸船舶数量.过闸收入,道路交通,水利,业务类,普遍公开,每年,2015-10-28,上海市水务局
1905,277,上海市苏州河、黄浦江沿线防汛墙及上海市海塘附件坐标城建位置信息,政府办事,附件数据,城市建设,水利,业务类,普遍公开,每年,2015-10-30,2016-01-22,上海市水务局
1975,275,集中式供水单位卫生许可信息，包括许可证号，区县，机构名称，地址，电话，邮政编码，单位类别,政府办事,供水 集中式 许可 卫生,卫生健康,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,上海市卫生和计划生育委员会
614,100,二手车鉴定评估机构主要包括二手车鉴定评估机构企业名称、批准时间、有效截止日期等信息。,交通出行,二手车,经济建设,国内贸易,业务类,普遍公开,每年,2017-04-14,2015-12-31,上海市商务委员会
2751,350,人才中介服务机构信息：包括单位名称、法人、地址、联系电话等信息,政府办事,人才中介.单位名称.地址.联系电话,社会发展,劳动人事综合类,业务类,普遍公开,每年,2015-12-07,上海市人力资源和社会保障局
2900,274,提供了2014年度上海市的示范性家政服务站的相关名单，包括了示范性家政服务站所在的区域、名称、地址、联系电话、联系人等信息。,社区周边生活服务,示范性家政服务站 名单,民生服务,综合类,其他类,普遍公开,每年,2015-12-03,2015-12-04,上海市妇女联合会
2601,302,提供了上海市妇联基层组织的相关信息，包括基层组织名称、地址、联系电话等信息。,政府办事,妇联 基层,机构团体,综合类,其他类,普遍公开,每年,2015-12-03,上海市妇女联合会
2084,294,母婴保健技术服务执业许可信息，包括许可证号，区县，机构名称，地址，电话，邮政编码，项目,就医与保健,母婴 保健 技术 服务 执业 许可,卫生健康,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,上海市卫生和计划生育委员会
1976,306,母婴保健机构服务人员资格许可信息，包括许可证号、姓名、项目、发证日期,政府办事,母婴 保健 机构 服务 人员 资格 许可 信息,卫生健康,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,2015-11-30,上海市卫生和计划生育委员会
1937,266,港澳医务人员执业许可信息，包括许可证号、姓名、类别、发证日期，为依申请公开信息,政府办事,医务人员 港澳 执业 许可,卫生健康,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,上海市卫生和计划生育委员会
1918,240,放射诊疗许可信息，包括许可证号，区县，机构名称，地址，电话，邮政编码，发证日期,就医与保健,放射 诊疗 许可,卫生健康,医药卫生管理,机构职能,普遍公开,每季度,2015-11-30,2015-11-30,上海市卫生和计划生育委员会
2477,446,上海采供血机构基本信息，包括机构名称、地址、邮编、联系电话等信息。,政府办事,采供血,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
3174,470,告知应急避难场所名称、所属区县、街道、地址、建设类别、建设类型、总占地面积、有效使用面积、避难人数、建设主体等信息。,社区周边生活服务,应急 避难 场所,公共安全,综合政务类,业务类,普遍公开,每季度,2015-11-25,2015-11-25,上海市民防办公室
5598,1043,上海市第三次经济普查主要数据公报（第一号）上海市第三次经济普查主要数据公报（第一号）,政府办事,上海市第三次经济普查主要数据公报（第一号）,经济建设,统计,机构职能,普遍公开,每五年,2015-07-17,上海市统计局
3161,678,上海市第三次经济普查主要数据公报（第三号）上海市第三次经济普查主要数据公报（第三号）,政府办事,上海市第三次经济普查主要数据公报（第三号）,经济建设,统计,机构职能,普遍公开,每五年,2015-07-17,2015-11-25,上海市统计局
2836,550,上海市第三次经济普查主要数据公报（第二号）上海市第三次经济普查主要数据公报（第二号）,政府办事,上海市第三次经济普查主要数据公报（第二号）,经济建设,统计,机构职能,普遍公开,每五年,2015-07-17,上海市统计局
3255,560,2014年度中小企业发展专项资金分配结果.包含专项资金分配对象、分配金额,政府办事,2014.中小企业.专项资金.分配结果,经济建设,工业,业务类,普遍公开,每年,2015-10-27,2015-11-19,上海市经济和信息化委员会
2680,458,产学研合作示范基地.包含单位名称.单位地址.负责人.项目信息等.,政府办事,产学研.合作.示范.基地,经济建设,工业,业务类,普遍公开,每年,2015-10-27,上海市经济和信息化委员会
2540,421,知识产权优势企业.包含企业名称.企业地址.企业优势.企业产权内容.,政府办事,知识产权.优势企业,经济建设,企业,业务类,普遍公开,每年,2015-10-27,2015-11-19,上海市经济和信息化委员会
2336,305,食盐定点生产企业.包括食盐定点生产企业名称、地址、联系电话等有关信息内容.,政府办事,食盐定点.生产.企业,经济建设,综合类,业务类,普遍公开,每年,2015-10-27,上海市经济和信息化委员会
3967,889,信息服务业产业基地 基地全称、界域、运营管理机构及联系方式、主要领域类别,政府办事,基地全称.界域.运营管理机构及联系方式.主要领域类别,经济建设,信息产业综合类,业务类,普遍公开,每年,2014-11-07,2015-11-19,上海市经济和信息化委员会
3606,826,创意产业集聚区 集聚区名称、地址、主导产业、概况、入驻企业、服务平台、联系方式,政府办事,集聚区名称.地址.主导产业.概况.入驻企业.服务平台.联系方式,经济建设,工业,业务类,普遍公开,每年,2014-11-07,上海市经济和信息化委员会
3504,909,计算机信息系统集成资质企业 本市获得计算机信息系统集成资质企业名单,政府办事,企业名称.资质证书编号.批准备案日期.首次获证日期.资质等级.所属省市,经济建设,信息产业综合类,业务类,普遍公开,每季度,2014-11-07,2015-11-19,上海市经济和信息化委员会
5183,886,上海市软件和信息服务业机构名称、地址、网址、电话、传真、简介等,政府办事,机构名称.地址.网址.电话.传真.简介,经济建设,信息产业综合类,业务类,普遍公开,每年,2015-02-25,上海市经济和信息化委员会
2517,320,市经济信息化委行政审批事项.包含行政审批事项、设立依据、处室、期限,政府办事,审批事项.依据.处室.期限,经济建设,经济管理,业务类,普遍公开,每年,2015-10-27,2015-11-18,上海市经济和信息化委员会
3151,536,欠缴税款纳税人名单信息，包括纳税人基础信息，欠缴税款信息和主管税务机关信息等,政府办事,纳税人基础信息，欠税信息,经济建设,税务,业务类,普遍公开,每季度,2015-11-02,上海市地方税务局
2397,277,全市各区县粮食行政管理部门的名称、办公地址、联系电话及邮政编码,政府办事,粮食，管理，机构,机构团体,商贸综合类,业务类,普遍公开,每年,2015-11-06,2015-11-06,上海市粮食局
2843,524,税务师事务所，提供税务师事务所名称，地址，邮编，成立时间，所长姓名，联系方式等信息。,政府办事,税务师事务所，地址，邮编，成立时间，姓名，联系方式,经济建设,税务,机构职能,普遍公开,每季度,2015-11-02,上海市地方税务局
3357,1076,提供全市非正常户信息。包括纳税人识别码，名称，法定代表人，认定日期，主管税务机关等信息。,政府办事,纳税人识别码，名称，法定代表人，认定日期，主管税务机关,经济建设,税务,业务类,普遍公开,每月,2015-11-02,2015-11-04,上海市地方税务局
2718,506,上海市税务局零散税收委托征管代征人清册提供代征点名称，地址，税务机关，联系电话，对外工作时间等信息,政府办事,名称，地址，电话，时间,经济建设,税务,机构职能,普遍公开,每季度,2015-11-02,上海市地方税务局
2734,525,上海用于联合惩戒的重大税收违法案件信息汇总，提供黑名单系统，包括纳税人的基础信息和涉税信息及涉案信息等,政府办事,纳税人基础信息，涉税信息，涉案信息,经济建设,税务,业务类,普遍公开,每季度,2015-11-02,2015-11-04,上海市地方税务局
2821,342,上海市重点粮油仓储设施企业的名称、公司地址、联系电话、邮政编码,政府办事,粮油，仓储，设施,经济建设,商贸综合类,业务类,普遍公开,每年,2015-11-02,上海市粮食局
2826,379,经批准设立的现代远程教育校外学习中心（点） 清单，包括试点高校、学习中心（点）、名称、地址等,学校教育与终身教育,校外 学习,教育科技,教育,业务类,普遍公开,每年,2015-10-20,2015-10-29,上海市教育委员会
3551,410,上海市市奖学金分配信息，包括分配单位（学校）、分配金额等信息,学校教育与终身教育,奖学金,教育科技,教育,业务类,普遍公开,每年,2015-10-20,上海市教育委员会
2640,367,上海市国家励志奖学金分配信息，包括分配单位（学校）、分配金额等,学校教育与终身教育,奖学金,教育科技,教育,业务类,普遍公开,每年,2015-10-20,2015-10-29,上海市教育委员会
2434,320,排水行业数据库及其管理系统中防汛应急子系统防汛队伍资料。包括抢险范围.组成单位.队长.联系电话.集结地点.联系人.联系电话.保障范围；,城市安全,抢险范围.组成单位，队长，集结地点,资源环境,水利,其他类,普遍公开,每年,2015-10-29,上海市水务局
2433,307,消防技术服务机构资质信息包括单位名称、法定代表人、地址、机构类型、资质等级等内容,政府办事,消防技术服务机构,公共安全,公安,业务类,普遍公开,每年,2015-10-29,2015-10-29,上海市公安局
3750,767,年度海洋经济运行监测、海洋经济分析评估信息 主要统计历年全国及上海海洋生产总值,政府办事,海洋经济，分析评估，统计信息,资源环境,统计,业务类,普遍公开,每年,2015-01-04,上海市水务局
2340,304,印章承刻企业信息内容包括名称、地址、特行许可证号、工商注册号、联系人等。,政府办事,印章承刻企业,公共安全,公安,业务类,普遍公开,每年,2015-10-19,2015-10-28,上海市公安局
1844,267,烟火燃放单位资质信息数据产品内容包括单位名称、资质、有效期、地址、电话等信息,城市安全,烟火燃放单位,公共安全,公安,业务类,普遍公开,每年,2015-10-26,上海市公安局
2371,357,客运、轮渡码头及周边相关道路交通违法受理窗口信息内容包括窗口名称、地址、联系电话等。,政府办事,客运.轮渡码头.交通违法受理窗口,道路交通,公安,业务类,普遍公开,每年,2015-10-19,2015-10-26,上海市公安局
2178,397,教育部予以资格认定的自费出国留学中介机构清单（上海地区），包括机构名称、法定代表人、地址、资格认定书编号、资格证书有效期、证书变更日期等,学校教育与终身教育,自费 出国 留学 中介,教育科技,教育,业务类,普遍公开,每年,2015-10-20,上海市教育委员会
3057,492,上海高等教育、高中教育、义务教育、学前教育、中职教育收费信息,学校教育与终身教育,教育 收费,教育科技,教育,业务类,普遍公开,每年,2015-10-20,2015-10-20,上海市教育委员会
2907,455,上海市区县教育局机构名称、地址、邮编、总机、投诉电话、咨询电话、信息公开电话、网址等,学校教育与终身教育,区县 教育局,教育科技,教育,业务类,普遍公开,每年,2015-10-20,上海市教育委员会
2367,194,根据《上海市行政规范性文件制定和备案规定》的规定，经市人民政府同意，下列区县人民政府、市政府委办局及市政府派出机构于2014年7月1日至2014年12月31日期间报送备案的行政规范性文件（105件），经审查准予备案，现公告如下,政府办事,规范性文件,社会发展,综合类,其他类,普遍公开,每半年,2015-10-20,2015-10-20,上海市人民政府法制办公室
2321,203,上海市人民政府法制办公室是上海市人民政府的直属机构，其主要职能包括13项。,政府办事,职能,社会发展,综合类,机构职能,普遍公开,每年,2015-10-19,上海市人民政府法制办公室
2291,170,上海市人民政府法制办公室部门预算，是包括上海市人民政府法制办公室本级及下属2家预算单位的综合收支计划。,政府办事,预算编制说明,社会发展,综合类,业务类,普遍公开,每年,2015-10-19,2015-10-20,上海市人民政府法制办公室
2644,644,2015年部门财务收支预算总表，2015年部门财政拨款基本支出经济分类预算表，2015年部门财政拨款支出功能分类预算表等,政府办事,财,社会发展,综合类,其他类,普遍公开,每年,2015-10-20,上海市人民政府法制办公室
2325,200,上海市人民政府法制办公室2015年“三公”经费财政拨款预算合计为61万元，包括上海市人民政府法制办公室本级以及下属1家与市级财政有经费领拨关系的预算单位2015年使用市级财政拨款预算安排的因公出国（境）费、公务用车购置及运行费和公务接待费。,政府办事,预算说明,社会发展,综合类,其他类,普遍公开,每年,2015-10-19,2015-10-19,上海市人民政府法制办公室
2170,354,保安服务业信息数据产品内容包括保安公司名称、办公地址、联系方式等。,培训与就业,保安服务业,公共安全,公安,业务类,普遍公开,每年,2015-10-19,上海市公安局
2243,359,生产性废旧金属回收企业信息包括企业名称、地址、法人、联系电话等。,政府办事,废旧金属回收,资源环境,公安,业务类,普遍公开,每年,2015-10-19,2015-10-19,上海市公安局
2206,381,营业性射击场信息数据产品内容包括企业名称、地址、法人、联系电话等。,社区周边生活服务,营业性射击场,文化休闲,公安,业务类,普遍公开,每年,2015-10-19,上海市公安局
1942,326,公安局登记备案的机动车检测场信息内容包括监测站名称、单位地址、质量监督局认定的有效期止等。,政府办事,机动车检测场,道路交通,公安,业务类,普遍公开,每年,2015-10-19,2015-10-19,上海市公安局
1860,258,涉及公民权利义务的公安机关规范性文件信息内容包括文件名称、文号、发文日期、具体内容等,政府办事,公民权利义务.规范性文件,民生服务,公安,业务类,普遍公开,每年,2015-10-19,上海市公安局
4895,1078,全市交通事故多发道路信息包括隐患道路名称、路段类型、督办等级、治理责任单位等信息。,政府办事,事故多发道路,道路交通,公安,业务类,普遍公开,每年,2015-10-19,2015-10-19,上海市公安局
1602,235,内河船舶户牌及船民证办理点信息包括窗口名称、地址、联系电话等内容。,政府办事,船舶户牌.船民证,民生服务,公安,业务类,普遍公开,每年,2015-10-19,上海市公安局
1772,316,全市出入境中介机构信息包括机构代码、机构名称、法人、许可证编号、发证机关、签发日期等信息。,政府办事,出入境.中介,机构团体,公安,机构职能,普遍公开,每年,2015-10-19,2015-10-19,上海市公安局
2191,284,上海赴台旅行社名单，包含许可证编号、旅行社名称，联系电话，注册地址信息,政府办事,赴台旅行社,文化休闲,旅游,其他类,普遍公开,每年,2015-10-10,上海市旅游局
3099,459,上海市A级旅游景区最大承载量信息，包含景区名称、景区等级、日最大承载量（人次）、瞬时最大承载量（人次）,政府办事,A级旅游景区，日最大承载量，瞬时最大承载量,文化休闲,旅游,其他类,普遍公开,每年,2015-10-10,2015-10-10,上海市旅游局
6852,1405,全市1470条公交线路的上行首末班车时刻表和下行首末班车时刻表,交通出行,公交线路.首班车.末班车，时刻表,道路交通,交通运输,业务类,普遍公开,每半年,2015-01-13,上海市交通委员会
5684,1022,2010年第六次全国人口普查，上海市10%人口普查数据就业人口分行业文化构成,政府办事,第六次人口普查10%人口普查数据就业人口分行业文化构成,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
2873,505,2010年第六次全国人口普查，上海市分行业、分性别的10%人口普查数据就业人口行业分布,政府办事,第六次人口普查10%人口普查数据就业人口行业分布,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,上海市统计局
2821,570,2010年第六次全国人口普查，上海市分区县、分性别的10%人口普查数据就业人口年龄构成,政府办事,第六次人口普查10%人口普查数据就业人口年龄构成,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
3881,724,2010年第六次全国人口普查，上海市分区县、分性别的性别年龄构成,政府办事,第六次人口普查人口性别年龄构成,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,上海市统计局
2325,379,2010年第六次全国人口普查，上海市分区县、分性别的出境人口,政府办事,第六次人口普查出境人口,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
2730,419,2010年第六次全国人口普查，上海市分各不同少数民族的少数民族人口数,政府办事,第六次人口普查少数民族人口数,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,上海市统计局
2715,451,2010年第六次全国人口普查，上海市分汉族与少数民族的民族人口,政府办事,第六次人口普查民族人口,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
3184,552,2010年第六次全国人口普查，上海市分区县、分性别的老年人口,政府办事,第六次人口普查老年人口,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,上海市统计局
3113,637,2010年第六次全国人口普查，上海市分区县的人口密度数据汇总,政府办事,第六次人口普查人口密度,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
2656,426,2010年第六次全国人口普查，上海市分区县、分性别的出生人口,政府办事,第六次人口普查出生人口,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,上海市统计局
2549,413,2010年第六次全国人口普查，上海市分区县、分性别的死亡人口,政府办事,第六次人口普查死亡人口,社会发展,统计,业务类,普遍公开,每十年,2015-01-28,2015-08-13,上海市统计局
2043,311,上海市粮食批发行情数据产品主要发布了上海市粮食批发行情的信息。,政府办事,粮食批发,民生服务,国内贸易,业务类,普遍公开,每周,2015-01-05,上海市商务委员会
3264,895,上海市活鸡批发行情数据产品主要发布了上海市活鸡批发行情的信息。,社区周边生活服务,活鸡批发,民生服务,国内贸易,业务类,普遍公开,每周,2015-01-05,2015-08-12,上海市商务委员会
2109,363,上海市肉品批发行情数据产品主要发布了上海市肉品批发行情的信息。,社区周边生活服务,肉品批发,民生服务,国内贸易,业务类,普遍公开,每周,2015-01-05,上海市商务委员会
4004,398,详细描述了持有《上海公共安全防范工程设计施工单位核准证书》名单,政府办事,上海公共安全防范工程设计施工单位核准证书,公共安全,公安,业务类,普遍公开,每年,2015-03-30,2015-03-30,上海市公安局
6106,1978,详细描述了上海市各个看守所的位置信息，包含地址、电话等各类信息,政府办事,上海市各看守所;位置信息,公共安全,公安,业务类,普遍公开,每年,2012-11-20,上海市公安局
4153,1336,详细描述了上海市各个拘留所位置信息，联系方式、地址等各类信息,政府办事,上海市各拘留所;位置信息,公共安全,公安,业务类,普遍公开,每年,2012-11-20,上海市公安局
3318,571,上海市强制戒毒所位置信息.包含上海市各个强制戒毒所信息，地址电话等信息,政府办事,上海市强制戒毒所;位置信息,公共安全,公安,业务类,普遍公开,每年,2012-11-20,2015-03-30,上海市公安局
5162,2073,提供上海市社保卡受理网点的所在街道、联系电话以及联系地址信息。,社区周边生活服务,社保卡,机构团体,公安,业务类,普遍公开,每年,2013-06-28,上海市公安局
2108,332,详细描述了2015年烟花爆竹零售点的情况，包括烟花爆竹零售点名称、地址。,社区周边生活服务,烟花爆竹,公共安全,公安,业务类,普遍公开,每年,2015-03-23,2015-03-27,上海市公安局
10327,5449,上海市公安局提供的高架上匝道关闭时间信息，包含本市各高架上匝道关闭时间等具体信息,交通出行,高架上匝道关闭时间,道路交通,公安,业务类,普遍公开,每季度,2014-11-24,上海市公安局
2239,361,上海市现制现售水经营单位基本信息，包括机构名称、许可证号、所属区县等信息。,政府办事,现制现售水,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,2015-03-24,上海市卫生和计划生育委员会
2711,452,上海市中小学生、婴幼儿住院医疗互助基金定点医疗机构基本信息，包括医疗机构名称、所属区县。,就医与保健,互助基金,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
2346,357,本市经许可开展节育手术和终止妊娠技术的医疗机构基本信息，包括机构名称、地址、所属区县、联系电话等信息。,就医与保健,节育手术,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,2015-03-23,上海市卫生和计划生育委员会
2096,354,本市经许可开展助产技术的医疗机构基本信息，包括机构名称、地址、所属区县、联系电话等信息。,就医与保健,助产技术,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
2131,350,经批准本市开展产前诊断的医疗机构基本信息，包括机构名称、地址信息。,就医与保健,产前诊断,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,2015-03-23,上海市卫生和计划生育委员会
2140,340,经批准本市开展人类辅助生殖技术的服务机构基本信息，包括机构名称、地址、开展业务等信息。,就医与保健,辅助生殖技术,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
2515,509,上海市妇幼保健所基本信息基本信息，包括机构名称、地址信息等。,就医与保健,妇幼保健,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,2015-03-23,上海市卫生和计划生育委员会
2738,679,详细描述了上海市各区县的居民委员会的详细信息。包括居民委员会名称、地址等。,社区周边生活服务,居民委员会，地址,机构团体,公安,业务类,普遍公开,每年,2015-03-23,上海市公安局
2383,507,本数据产品为上海市网吧分布信息，主要包括网吧的名称以及地址等信息。,社区周边生活服务,网吧，网吧位置,文化休闲,公安,业务类,普遍公开,每年,2015-03-23,2015-03-23,上海市公安局
3502,699,详细描述了上海市、区两级消防安全重点单位名单、分级等信息，包括单位名称，单位地址,城市安全,单位名称，单位地址,公共安全,公安,业务类,普遍公开,每年,2015-03-23,2015-03-23,上海市公安局
5001,1447,提供上海市居住证受理网点的所属街道、联系电话以及联系地址信息,社区周边生活服务,居住证,机构团体,公安,业务类,普遍公开,每年,2013-06-28,上海市公安局
2197,363,详细描述了上海市保安培训机构名录信息，包含单位名称，单位地址等信息,培训与就业,单位名称，单位地址,公共安全,公安,业务类,普遍公开,每年,2015-03-23,2015-03-23,上海市公安局
2301,407,详细描述了上海市保安从业单位的信息，包括单位名称，单位地址等信息,培训与就业,单位名称，单位地址,公共安全,公安,业务类,普遍公开,每年,2015-03-23,上海市公安局
24509,20484,上海市高校专业设置情况及对外联系方式，包括学校名称、联系电话、学院名称、专业名称等内容。,学校教育与终身教育,高等，院系，联系方式,教育科技,教育,业务类,普遍公开,每年,2014-11-05,2015-03-18,上海市教育委员会
39368,32825,上海市体育设施对外开放学校信息，包括学校名称、学校地址、开放项目、开放时间、开放对象等内容。,学校教育与终身教育,体育，设施，开放，学校,教育科技,教育,业务类,普遍公开,每年,2014-11-05,上海市教育委员会
7498,3760,上海市中小学校对外联系方式，包括学校名称、学校类别、学校地址、学校邮编等内容,学校教育与终身教育,中小学，联系方式,教育科技,教育,业务类,普遍公开,每年,2014-11-05,2015-03-11,上海市教育委员会
2251,362,上海市医疗机构发热门诊基本信息，包括医疗机构名称、地址信息、机构级别等。2015年2月更新,就医与保健,发热门诊,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
3814,787,本市二级医疗机构基本信息，包括机构名称、地址、行政区划、联系电话等信息。2015年2月更新。,就医与保健,医疗机构,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,2015-03-10,上海市卫生和计划生育委员会
3893,878,三级医疗机构基本信息，包括机构名称、地址、行政区划等信息。2015年2月更新,政府办事,医疗机构,卫生健康,医药卫生管理,机构职能,普遍公开,每年,2014-11-27,上海市卫生和计划生育委员会
25158,19036,上海市公务员管理机构概况信息，提供本市公务员管理机构的地址、电话等信息。,政府办事,上海市.公务员管理机构概况,机构团体,综合类,其他类,普遍公开,每年,2015-03-06,2015-03-06,上海市公务员局
3383,363,上海市松江区下辖一线水闸名称、闸门启闭高度、内外河水位数据。,政府办事,水闸泵站工况,资源环境,水利,机构职能,普遍公开,每年,2015-01-30,上海市水务局
2065,348,本市的计生事务受理机构的机构名称、机构地址、电话和邮编信息。更新频率没一年一次。,婚育,计生,机构团体,计划生育,机构职能,普遍公开,每年,2015-01-21,2015-01-21,上海市卫生和计划生育委员会
3551,912,本市的人口计生综合服务站的名称、地址、电话、邮编信息。更新的频率为每年一次。,政府办事,计生,卫生健康,计划生育,机构职能,普遍公开,每年,2015-01-21,上海市卫生和计划生育委员会
3274,770,2014年至2015年上海旅游名牌产品名录，包含所述旅游企业、商标、产品名称、有效期、咨询电话等信息,政府办事,旅游名牌产品,文化休闲,旅游,其他类,普遍公开,每年,2015-01-16,2015-01-16,上海市旅游局
2772,418,上海各区县旅游行业管理机构名单，包括名称、地址、联系电话、传真、周边交通等内容,政府办事,旅游行业管理机构,机构团体,旅游,业务类,普遍公开,每年,2015-01-16,上海市旅游局
3587,664,截至2014年底，上海市A级景区名单，包含景区名称、景区等级、联系电话、景区地址、周边交通、景区简介等信息,政府办事,旅游，A级景区,文化休闲,旅游,业务类,普遍公开,每年,2015-01-16,2015-01-16,上海市旅游局
